@relation corpus_simple
@attribute character_count real
@attribute word_count real
@attribute average_word_length real
@attribute most_common_stop_word {the, he, to, and, a, of, it, you, i, his, in, she, for, was, they, an, him, her, when, their, or, my, we}
@attribute title_word_count real
@attribute adjective_percent real
@attribute adverb_percent real
@attribute noun_percent real
@attribute pronoun_percent real
@attribute verb_percent real
@attribute class {arabiannights, italiantyrol, russian, australian, canadian, german, japanese, aesop, armenian, chinese, norse, hawaiian, southernindia, english, mexicocity, slavic, indian, eskimo, welsh, czech, eapoe, hindi, dutch, georgian, finnish, iroquois, apache, irish, filipino, kingarthur, serbian, mothergoose, celtic, hamiltonwrightmabie, korean, hanschristiananderson, viking}
@data
%
% 1621 instances
%
243,56,4.339285714285714,the,3,0.013157894736842105,0.02631578947368421,0.23684210526315788,0.039473684210526314,0.06578947368421052,chinese
335,81,4.135802469135802,the,5,0.03076923076923077,0.03076923076923077,0.13846153846153847,0.0,0.09230769230769231,aesop
392,104,3.769230769230769,to,5,0.04054054054054054,0.02702702702702703,0.13513513513513514,0.033783783783783786,0.12162162162162163,aesop
547,131,4.175572519083969,the,7,0.004464285714285714,0.03125,0.19642857142857142,0.0,0.06696428571428571,norse
3703,809,4.57725587144623,the,3,0.03571428571428571,0.020764119601328904,0.1760797342192691,0.014119601328903655,0.09717607973421927,hawaiian
17146,4364,3.9289642529789184,the,4,0.05063534847901425,0.046784751636503655,0.14613015017327685,0.00712360415864459,0.09549480169426261,norse
3236,683,4.7379209370424595,the,5,0.0498960498960499,0.032224532224532226,0.1735966735966736,0.008316008316008316,0.06964656964656965,southernindia
339,79,4.291139240506329,the,4,0.01694915254237288,0.06779661016949153,0.13559322033898305,0.01694915254237288,0.09322033898305085,aesop
15005,3461,4.335452181450448,the,3,0.05742694805194805,0.020900974025974024,0.18222402597402598,0.008522727272727272,0.08969155844155845,english
2524,597,4.227805695142378,the,6,0.05181347150259067,0.04015544041450777,0.17098445595854922,0.0051813471502590676,0.08290155440414508,mexicocity
5426,1257,4.316626889419252,the,8,0.05454545454545454,0.03212121212121212,0.16666666666666666,0.009696969696969697,0.08666666666666667,slavic
5936,1516,3.9155672823219,and,3,0.05911823647294589,0.039579158316633264,0.1187374749498998,0.01503006012024048,0.08667334669338678,norse
16938,4269,3.96767392832045,the,4,0.03582139286904365,0.03582139286904365,0.12462512495834721,0.013995334888370544,0.09896701099633455,norse
11582,2770,4.181227436823105,the,3,0.04048370136698212,0.028128286014721345,0.13617245005257625,0.020767613038906414,0.09963196635120926,indian
5816,1358,4.282768777614138,the,4,0.055734190782422297,0.04662379421221865,0.1195069667738478,0.018756698821007504,0.10610932475884244,eskimo
24495,5731,4.274123189670215,the,5,0.059935990689554845,0.030695373872563284,0.16933372126854815,0.012801862089031132,0.10125109106779168,japanese
259,58,4.4655172413793105,and,6,0.07954545454545454,0.022727272727272728,0.13636363636363635,0.011363636363636364,0.10227272727272728,aesop
244,58,4.206896551724138,a,5,0.021739130434782608,0.03260869565217391,0.17391304347826086,0.0,0.11956521739130435,aesop
2602,564,4.613475177304965,the,5,0.046296296296296294,0.031746031746031744,0.17857142857142858,0.003968253968253968,0.082010582010582,italiantyrol
1341,332,4.039156626506024,he,6,0.04357798165137615,0.03211009174311927,0.16743119266055045,0.006880733944954129,0.11926605504587157,welsh
1582,339,4.666666666666667,the,2,0.056016597510373446,0.024896265560165973,0.18464730290456433,0.006224066390041493,0.0912863070539419,chinese
4119,1010,4.078217821782178,the,3,0.037786774628879895,0.04116059379217274,0.12010796221322537,0.02766531713900135,0.10796221322537113,eskimo
7784,1775,4.385352112676056,the,9,0.05004035512510089,0.02784503631961259,0.1553672316384181,0.01977401129943503,0.09362389023405973,slavic
10337,2520,4.101984126984127,and,4,0.05514479359211337,0.033271719038817,0.13401109057301294,0.009550215650030808,0.0973505853357979,norse
1439,305,4.718032786885246,the,1,0.09137055837563451,0.030456852791878174,0.1802030456852792,0.0025380710659898475,0.06852791878172589,italiantyrol
10050,2472,4.065533980582524,the,4,0.03679406731317741,0.03365658870507701,0.12179121505989732,0.03280091272104963,0.09783228750713063,czech
2921,751,3.8894806924101197,and,4,0.05630630630630631,0.0472972972972973,0.14414414414414414,0.0045045045045045045,0.09121621621621621,norse
2724,632,4.310126582278481,the,4,0.047453703703703706,0.024305555555555556,0.19444444444444445,0.005787037037037037,0.08912037037037036,chinese
399,89,4.48314606741573,the,5,0.056338028169014086,0.028169014084507043,0.20422535211267606,0.02112676056338028,0.07746478873239436,chinese
19260,4826,3.9908827186075424,the,2,0.04425064599483204,0.03940568475452196,0.1380813953488372,0.005813953488372093,0.09851421188630491,norse
13216,3027,4.366038982490915,the,9,0.05667506297229219,0.028967254408060455,0.17682619647355163,0.012594458438287154,0.08992443324937027,japanese
5174,1167,4.433590402742074,the,4,0.06105006105006105,0.015262515262515262,0.18986568986568986,0.01282051282051282,0.08363858363858363,hawaiian
1330,218,6.10091743119266,of,2,0.016363636363636365,0.01818181818181818,0.22,0.0018181818181818182,0.02,chinese
7783,1758,4.427189988623436,the,2,0.04875,0.03,0.14791666666666667,0.012083333333333333,0.09708333333333333,russian
1161,235,4.940425531914894,the,4,0.06613756613756613,0.005291005291005291,0.19576719576719576,0.013227513227513227,0.05291005291005291,chinese
4608,1093,4.215919487648673,the,7,0.049019607843137254,0.03594771241830065,0.11045751633986928,0.026143790849673203,0.09281045751633987,slavic
7745,1901,4.074171488690163,the,5,0.041987179487179484,0.023076923076923078,0.12371794871794872,0.014423076923076924,0.08493589743589744,german
414,100,4.14,the,5,0.03731343283582089,0.03731343283582089,0.16417910447761194,0.007462686567164179,0.09701492537313433,aesop
3377,685,4.92992700729927,the,8,0.052742616033755275,0.04008438818565401,0.15084388185654007,0.03270042194092827,0.06962025316455696,eapoe
702,179,3.921787709497207,the,5,0.029411764705882353,0.03361344537815126,0.16806722689075632,0.008403361344537815,0.10084033613445378,aesop
1665,346,4.812138728323699,the,3,0.06496062992125984,0.023622047244094488,0.16141732283464566,0.017716535433070866,0.0531496062992126,chinese
1206,242,4.983471074380165,the,4,0.0701219512195122,0.01524390243902439,0.21951219512195122,0.0,0.057926829268292686,chinese
1585,348,4.554597701149425,the,2,0.05439330543933055,0.02510460251046025,0.18619246861924685,0.014644351464435146,0.06903765690376569,chinese
1099,248,4.431451612903226,the,3,0.03939393939393939,0.01818181818181818,0.21515151515151515,0.012121212121212121,0.09696969696969697,chinese
16763,4026,4.163686040735221,the,3,0.04709141274238227,0.032251681836169374,0.13909774436090225,0.02295211713494262,0.10605461020973486,hindi
8306,1911,4.3464154892726325,the,3,0.045907473309608544,0.03345195729537367,0.1423487544483986,0.015658362989323844,0.1,australian
8949,2131,4.199436884091976,the,2,0.03126879134095009,0.01984365604329525,0.1440168370414913,0.023752254960914012,0.08809380637402285,armenian
6921,1698,4.075971731448763,the,5,0.04409005628517824,0.042682926829268296,0.15478424015009382,0.021575984990619138,0.09896810506566604,canadian
780,164,4.7560975609756095,the,4,0.056,0.02,0.228,0.004,0.072,chinese
1532,350,4.377142857142857,the,6,0.03725490196078431,0.03529411764705882,0.1568627450980392,0.00980392156862745,0.10196078431372549,australian
620,159,3.89937106918239,the,5,0.04504504504504504,0.02702702702702703,0.12612612612612611,0.009009009009009009,0.09009009009009009,aesop
924,223,4.143497757847534,the,3,0.029411764705882353,0.026143790849673203,0.13071895424836602,0.016339869281045753,0.10784313725490197,czech
6735,1454,4.632049518569463,the,3,0.04225352112676056,0.03319919517102616,0.16348088531187122,0.009054325955734407,0.09708249496981891,southernindia
8522,1992,4.278112449799197,the,6,0.05397923875432526,0.03321799307958478,0.16055363321799307,0.011764705882352941,0.0809688581314879,dutch
569,147,3.870748299319728,it,2,0.036458333333333336,0.026041666666666668,0.16666666666666666,0.015625,0.09895833333333333,aesop
1139,233,4.888412017167382,the,6,0.05228758169934641,0.026143790849673203,0.18627450980392157,0.0032679738562091504,0.10784313725490197,chinese
786,178,4.415730337078652,the,3,0.02127659574468085,0.010638297872340425,0.17553191489361702,0.0,0.13829787234042554,aesop
9975,2293,4.3501962494548625,the,4,0.05455093429776974,0.026823387582881254,0.16335141651597349,0.011452682338758288,0.08167570825798674,dutch
499,116,4.301724137931035,you,5,0.031578947368421054,0.021052631578947368,0.14210526315789473,0.021052631578947368,0.07894736842105263,chinese
6464,1577,4.0989220038046925,the,6,0.03698868581375109,0.028285465622280244,0.13664055700609226,0.016971279373368148,0.10922541340295909,georgian
567,126,4.5,the,5,0.018018018018018018,0.04054054054054054,0.13963963963963963,0.013513513513513514,0.09009009009009009,aesop
9693,2111,4.591662719090478,the,3,0.058521560574948665,0.024982888432580425,0.17624914442162903,0.004449007529089665,0.0732375085557837,russian
773,192,4.026041666666667,the,5,0.028,0.008,0.192,0.032,0.092,aesop
6304,1431,4.405310971348707,the,6,0.058960074280408545,0.02042711234911792,0.18802228412256267,0.012999071494893221,0.09285051067780872,welsh
2850,666,4.2792792792792795,the,6,0.04671717171717172,0.03535353535353535,0.21085858585858586,0.0,0.07196969696969698,mexicocity
5035,1194,4.216917922948074,the,2,0.025705645161290324,0.043850806451612906,0.11945564516129033,0.025705645161290324,0.09223790322580645,finnish
899,189,4.756613756613756,the,3,0.04580152671755725,0.003816793893129771,0.22900763358778625,0.011450381679389313,0.0648854961832061,chinese
538,136,3.9558823529411766,the,5,0.08928571428571429,0.011904761904761904,0.16666666666666666,0.0,0.07738095238095238,aesop
4692,1133,4.141218005295675,the,13,0.04265091863517061,0.020341207349081365,0.1279527559055118,0.04330708661417323,0.10236220472440945,arabiannights
1906,393,4.849872773536895,the,2,0.04225352112676056,0.014084507042253521,0.22359154929577466,0.02464788732394366,0.061619718309859156,chinese
2017,447,4.512304250559284,the,4,0.02369077306733167,0.03366583541147132,0.11845386533665836,0.018703241895261846,0.09102244389027432,finnish
1801,412,4.371359223300971,to,6,0.03368794326241135,0.015957446808510637,0.19858156028368795,0.01773049645390071,0.07801418439716312,chinese
1035,246,4.2073170731707314,the,3,0.062146892655367235,0.022598870056497175,0.1384180790960452,0.022598870056497175,0.08192090395480225,aesop
1086,266,4.082706766917293,the,8,0.06609195402298851,0.028735632183908046,0.16954022988505746,0.017241379310344827,0.08908045977011494,aesop
992,241,4.1161825726141075,the,5,0.07191780821917808,0.03767123287671233,0.17465753424657535,0.0,0.08904109589041095,aesop
1307,288,4.538194444444445,the,4,0.04497354497354497,0.031746031746031744,0.18783068783068782,0.005291005291005291,0.07142857142857142,italiantyrol
