('sake', 'NN')
('!', '.')
("'", "''")
('But', 'CC')
('Gerda', 'NNP')
('patted', 'VBD')
('cheek', 'NN')
(',', ',')
('asked', 'VBD')
('Prince', 'NNP')
('Princess', 'NNP')
('.', '.')
("'They", 'CD')
('travelling', 'VBG')
('foreign', 'JJ')
('countries', 'NNS')
(',', ',')
("'", "''")
('said', 'VBD')
('robber', 'NNP')
('girl', 'NN')
('.', '.')
("'But", 'CD')
('crow', 'NN')
('?', '.')
("'", "''")
('asked', 'VBN')
('Gerda', 'NNP')
('.', '.')
("'Oh", 'CD')
(',', ',')
('crow', 'VBP')
('dead', 'JJ')
('!', '.')
("'", "''")
('answered', 'VBN')
('.', '.')
("'The", 'POS')
('tame', 'JJ')
('sweetheart', 'NN')
('widow', 'NN')
(',', ',')
('goes', 'VBZ')
('bit', 'RB')
('black', 'JJ')
('wool', 'NN')
('tied', 'VBN')
('round', 'NN')
('leg', 'NN')
('.', '.')
('She', 'PRP')
('pities', 'VBZ')
('bitterly', 'RB')
(',', ',')
("'s", 'POS')
('nonsense', 'NN')
('!', '.')
('But', 'CC')
('tell', 'NN')
('got', 'VBD')
(',', ',')
('found', 'VBN')
('.', '.')
("'", "''")
('Gerda', 'NNP')
('Kay', 'NNP')
('told', 'VBD')
('.', '.')
("'Snip", 'CD')
(',', ',')
('snap', 'NN')
(',', ',')
('snurre', 'NN')
(',', ',')
("'s", 'POS')
('right', 'JJ')
('last', 'JJ')
('!', '.')
("'", "''")
('said', 'VBD')
(',', ',')
('took', 'VBD')
('hold', 'NN')
('hands', 'NNS')
('promised', 'VBN')
('ever', 'RB')
('passed', 'VBN')
('town', 'NN')
('would', 'MD')
('pay', 'VB')
('visit', 'NN')
('.', '.')
('Then', 'RB')
('rode', 'VB')
('wide', 'JJ')
('world', 'NN')
('.', '.')
('But', 'CC')
('Kay', 'NNP')
('Gerda', 'NNP')
('walked', 'VBD')
(',', ',')
('hand', 'NN')
('hand', 'NN')
(',', ',')
('wherever', 'WDT')
('went', 'VBD')
('found', 'VBN')
('delightful', 'JJ')
('spring', 'NN')
('blooming', 'VBG')
('flowers', 'NNS')
('.', '.')
('Soon', 'RB')
('recognised', 'VBD')
('big', 'JJ')
('town', 'NN')
('lived', 'VBD')
(',', ',')
('tall', 'JJ')
('towers', 'NNS')
(',', ',')
('bells', 'NNS')
('still', 'RB')
('rang', 'VBP')
('merry', 'JJ')
('peals', 'NNS')
('.', '.')
('They', 'PRP')
('went', 'VBD')
('straight', 'VBD')
('grandmother', 'NN')
("'s", 'POS')
('door', 'NN')
(',', ',')
('stairs', 'JJ')
('room', 'NN')
('.', '.')
('Everything', 'NN')
('left', 'VBD')
(',', ',')
('old', 'JJ')
('clock', 'NN')
('ticked', 'VBD')
('corner', 'NN')
(',', ',')
('hands', 'NNS')
('pointed', 'VBD')
('time', 'NN')
('.', '.')
('As', 'IN')
('went', 'VBD')
('door', 'NN')
('room', 'NN')
('perceived', 'VBD')
('grown', 'JJ')
('.', '.')
('The', 'DT')
('roses', 'NNS')
('clustered', 'VBD')
('round', 'NN')
('open', 'JJ')
('window', 'NN')
(',', ',')
('stood', 'VBD')
('two', 'CD')
('little', 'JJ')
('chairs', 'NNS')
('.', '.')
('Kay', 'NNP')
('Gerda', 'NNP')
('sat', 'VBD')
('upon', 'IN')
(',', ',')
('still', 'RB')
('holding', 'VBG')
('hand', 'NN')
('.', '.')
('All', 'DT')
('cold', 'JJ')
('empty', 'JJ')
('grandeur', 'NN')
('Snow', 'NNP')
('Queen', 'NNP')
