('.', '.')
('They', 'PRP')
('croaked', 'VBD')
('loud', 'NN')
(',', ',')
('drowned', 'VBD')
('fairy', 'JJ')
('music', 'NN')
(',', ',')
('made', 'VBD')
('night', 'NN')
('hideous', 'JJ')
('noises', 'NNS')
('.', '.')
('The', 'DT')
('snakes', 'NNS')
('spoiled', 'VBD')
('country', 'NN')
('little', 'JJ')
('birds', 'NNS')
(',', ',')
('toads', 'NNS')
('seemed', 'VBD')
('think', 'VBP')
('salt', 'JJ')
('ocean', 'NN')
('kept', 'VBD')
(',', ',')
('land', 'NN')
('made', 'VBN')
(',', ',')
('especially', 'RB')
('.', '.')
('The', 'DT')
('Dutch', 'JJ')
('fairies', 'NNS')
('disgusted', 'VBD')
('way', 'NN')
('reptiles', 'NNS')
('behaved', 'VBD')
(',', ',')
('could', 'MD')
('enjoy', 'VB')
(',', ',')
('old', 'JJ')
('days', 'NNS')
('.', '.')
('If', 'IN')
('went', 'VBD')
('dance', 'NN')
('meadow', 'NN')
(',', ',')
('moonlight', 'JJ')
('nights', 'NNS')
(',', ',')
('always', 'RB')
('found', 'VBD')
('big', 'JJ')
('bullfrog', 'NN')
('sitting', 'VBG')
('ring', 'NN')
(',', ',')
('mocking', 'VBG')
('bellowing', 'NN')
('.', '.')
('So', 'RB')
('heard', 'JJ')
('storks', 'NNS')
('Africa', 'NNP')
(',', ',')
('hearty', 'NN')
('appetites', 'NNS')
(',', ',')
('various', 'JJ')
('wrigglers', 'NNS')
(',', ',')
('crawlers', 'NNS')
(',', ',')
('jumpers', 'NNS')
('splashers', 'NNS')
('waters', 'NNS')
(',', ',')
('resolved', 'VBD')
('invite', 'RB')
(',', ',')
('body', 'NN')
(',', ',')
('Holland', 'NNP')
('.', '.')
('The', 'DT')
('Dutch', 'JJ')
('fairies', 'NNS')
('knew', 'VBD')
('nothing', 'NN')
('habits', 'NNS')
('bird', 'VBP')
('scarcely', 'RB')
('imagined', 'JJ')
('creature', 'NN')
('might', 'MD')
('look', 'VB')
(',', ',')
('heard', 'RB')
('many', 'JJ')
('pleasant', 'JJ')
('things', 'NNS')
('stork', 'NN')
("'s", 'POS')
('good', 'JJ')
('character', 'NN')
('.', '.')
('The', 'DT')
('wise', 'NN')
('bird', 'NN')
('excellent', 'JJ')
('reputation', 'NN')
(',', ',')
('kind', 'NN')
('young', 'JJ')
(',', ',')
('also', 'RB')
('attending', 'VBG')
('wants', 'VBZ')
('parents', 'NNS')
(',', ',')
('old', 'JJ')
('.', '.')
('It', 'PRP')
('even', 'RB')
('said', 'VBD')
('countries', 'NNS')
('stork', 'VBP')
('symbol', 'NN')
('filial', 'JJ')
('piety', 'NN')
('.', '.')
('So', 'RB')
('fairies', 'JJ')
('Netherlands', 'NNP')
('despatched', 'VBD')
('delegation', 'NN')
('Egypt', 'NNP')
('congress', 'NN')
('storks', 'NNS')
('called', 'VBN')
('consider', 'VB')
('invitation', 'NN')
('go', 'VB')
('west', 'JJS')
('.', '.')
('Messengers', 'NNS')
('sent', 'VBD')
('red-legged', 'JJ')
('birds', 'NNS')
(',', ',')
('among', 'IN')
('bulrushes', 'NNS')
('Nile', 'NNP')
(',', ',')
('lived', 'VBD')
('roofs', 'JJ')
('temples', 'NNS')
(',', ',')
('perched', 'VBD')
('pyramids', 'NNS')
(',', ',')
('dwelt', 'VBD')
('top', 'JJ')
('old', 'JJ')
('columns', 'NN')
(',', ',')
('stood', 'VBD')
('rows', 'NNS')
('along', 'IN')
('eaves', 'NNS')
('town', 'NN')
('houses', 'NNS')
('.', '.')
('The', 'DT')
('town', 'NN')
('birds', 'NNS')
('gained', 'VBD')
('living', 'VBG')
('acting', 'VBG')
('street', 'NN')
('cleaners', 'NNS')
(',', ',')
('river', 'NN')
('birds', 'NNS')
('made', 'VBN')
('meals', 'NNS')
('chiefly', 'JJ')
('fish', 'JJ')
(',', ',')
('frogs', 'NNS')
(',', ',')
('mice', 'NN')
('.', '.')
('The', 'DT')
